Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global
2024,Abu Dhabi Grand Prix,16,HARD,2,8.0,30.7,30.0,3,3,0.2109999999999843,28.0,2.0,88.98349999999999
2024,Abu Dhabi Grand Prix,16,HARD,2,9.0,30.8,29.0,3,3,0.3434999999999917,29.0,2.0,89.116
2024,Abu Dhabi Grand Prix,16,HARD,2,12.0,30.5,26.0,3,3,0.375,32.0,2.0,89.14750000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,13.0,30.5,25.0,3,3,0.3739999999999952,33.0,2.0,89.1465
2024,Abu Dhabi Grand Prix,16,HARD,2,14.0,30.4,24.0,3,3,0.410499999999999,34.0,2.0,89.183
2024,Abu Dhabi Grand Prix,16,HARD,2,15.0,30.3,23.0,3,3,0.20499999999998408,35.0,2.0,88.97749999999999
2024,Abu Dhabi Grand Prix,16,HARD,2,16.0,30.3,22.0,3,3,0.0,36.0,2.0,88.77250000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,17.0,30.3,21.0,3,3,0.23199999999999932,37.0,2.0,89.00450000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,18.0,30.3,20.0,3,3,0.13299999999998136,38.0,2.0,88.90549999999999
2024,Abu Dhabi Grand Prix,16,HARD,2,19.0,30.1,19.0,3,3,0.09899999999998954,39.0,2.0,88.8715
2024,Abu Dhabi Grand Prix,16,HARD,2,20.0,30.2,18.0,3,3,0.5444999999999993,40.0,2.0,89.31700000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,21.0,30.1,17.0,3,3,0.40099999999999625,41.0,2.0,89.1735
2024,Abu Dhabi Grand Prix,16,HARD,2,22.0,30.2,16.0,3,3,0.5034999999999883,42.0,2.0,89.276
2024,Abu Dhabi Grand Prix,16,HARD,2,23.0,30.1,15.0,3,3,0.6029999999999802,43.0,2.0,89.37549999999999
2024,Abu Dhabi Grand Prix,16,HARD,2,24.0,30.1,14.0,3,3,0.7919999999999874,44.0,2.0,89.5645
2024,Abu Dhabi Grand Prix,16,HARD,2,25.0,30.0,13.0,3,3,0.37949999999999307,45.0,2.0,89.152
2024,Abu Dhabi Grand Prix,16,HARD,2,26.0,30.0,12.0,3,3,0.38749999999998863,46.0,2.0,89.16
2024,Abu Dhabi Grand Prix,16,HARD,2,27.0,29.7,11.0,3,3,0.35799999999997567,47.0,2.0,89.13049999999998
2024,Abu Dhabi Grand Prix,16,HARD,2,28.0,29.7,10.0,3,3,0.29399999999999693,48.0,2.0,89.0665
2024,Abu Dhabi Grand Prix,16,HARD,2,29.0,29.6,9.0,3,3,0.501499999999993,49.0,2.0,89.274
2024,Abu Dhabi Grand Prix,16,HARD,2,30.0,29.5,8.0,3,3,0.37299999999997624,50.0,2.0,89.14549999999998
2024,Abu Dhabi Grand Prix,16,HARD,2,31.0,29.4,7.0,3,3,0.19649999999998613,51.0,2.0,88.969
2024,Abu Dhabi Grand Prix,16,HARD,2,32.0,29.4,6.0,3,3,0.6504999999999939,52.0,2.0,89.423
2024,Abu Dhabi Grand Prix,16,HARD,2,33.0,29.4,5.0,3,3,0.7305000000000064,53.0,2.0,89.50300000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,34.0,29.4,4.0,3,3,0.6995000000000005,54.0,2.0,89.47200000000001
2024,Abu Dhabi Grand Prix,16,HARD,2,35.0,29.3,3.0,3,3,0.6349999999999909,55.0,2.0,89.4075
2024,Abu Dhabi Grand Prix,16,HARD,2,36.0,29.4,2.0,3,3,0.48349999999999227,56.0,2.0,89.256
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,5.0,31.9,54.0,3,3,0.4064999999999941,4.0,1.0,89.7995
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,6.0,31.7,53.0,3,3,0.791499999999985,5.0,1.0,90.18449999999999
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,7.0,31.8,52.0,3,3,1.8759999999999906,6.0,1.0,91.26899999999999
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,8.0,31.8,51.0,3,3,1.114298507462692,7.0,1.0,90.50729850746269
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,9.0,31.5,50.0,3,3,1.2624999999999886,8.0,1.0,90.65549999999999
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,10.0,31.6,49.0,3,3,1.3159999999999883,9.0,1.0,90.70899999999999
2024,Abu Dhabi Grand Prix,18,MEDIUM,1,11.0,31.7,48.0,3,3,1.66249999999998,10.0,1.0,91.05549999999998
2024,Abu Dhabi Grand Prix,18,HARD,2,3.0,31.6,45.0,3,3,0.7590000000000003,13.0,2.0,90.152
2024,Abu Dhabi Grand Prix,18,HARD,2,4.0,31.3,44.0,3,3,1.4444999999999908,14.0,2.0,90.83749999999999
